year,week,State,reported_ILI_cases_per_week
2010,40,Arizona,172
2010,40,California,632
2010,40,Colorado,134
2010,40,Georgia,647
2010,40,Illinois,505
2010,40,New York,37
2010,40,Pennsylvania,122
2010,40,Texas,1050
2010,40,Washington,16
2010,41,Arizona,183
2010,41,California,742
2010,41,Colorado,115
2010,41,Georgia,702
2010,41,Illinois,600
2010,41,New York,47
2010,41,Pennsylvania,157
2010,41,Texas,1061
2010,41,Washington,34
2010,42,Arizona,240
2010,42,California,766
2010,42,Colorado,152
2010,42,Georgia,793
2010,42,Illinois,644
2010,42,New York,53
2010,42,Pennsylvania,161
2010,42,Texas,1090
2010,42,Washington,28
2010,43,Arizona,233
2010,43,California,666
2010,43,Colorado,175
2010,43,Georgia,881
2010,43,Illinois,623
2010,43,New York,53
2010,43,Pennsylvania,133
2010,43,Texas,1117
2010,43,Washington,30
2010,44,Arizona,312
2010,44,California,887
2010,44,Colorado,193
2010,44,Georgia,1033
2010,44,Illinois,625
2010,44,New York,80
2010,44,Pennsylvania,181
2010,44,Texas,1218
2010,44,Washington,24
2010,45,Arizona,239
2010,45,California,906
2010,45,Colorado,139
2010,45,Georgia,1390
2010,45,Illinois,651
2010,45,New York,78
2010,45,Pennsylvania,184
2010,45,Texas,1310
2010,45,Washington,40
2010,46,Arizona,284
2010,46,California,1020
2010,46,Colorado,137
2010,46,Georgia,1938
2010,46,Illinois,661
2010,46,New York,79
2010,46,Pennsylvania,170
2010,46,Texas,1121
2010,46,Washington,44
2010,47,Arizona,251
2010,47,California,729
2010,47,Colorado,108
2010,47,Georgia,1801
2010,47,Illinois,622
2010,47,New York,58
2010,47,Pennsylvania,144
2010,47,Texas,964
2010,47,Washington,21
2010,48,Arizona,371
2010,48,California,939
2010,48,Colorado,168
2010,48,Georgia,1315
2010,48,Illinois,659
2010,48,New York,244
2010,48,Pennsylvania,217
2010,48,Texas,1273
2010,48,Washington,35
2010,49,Arizona,517
2010,49,California,1072
2010,49,Colorado,154
2010,49,Georgia,1685
2010,49,Illinois,732
2010,49,New York,303
2010,49,Pennsylvania,203
2010,49,Texas,1165
2010,49,Washington,33
2010,50,Arizona,488
2010,50,California,1170
2010,50,Colorado,174
2010,50,Georgia,2254
2010,50,Illinois,775
2010,50,New York,357
2010,50,Pennsylvania,196
2010,50,Texas,1350
2010,50,Washington,14
2010,51,Arizona,454
2010,51,California,1057
2010,51,Colorado,123
2010,51,Georgia,2489
2010,51,Illinois,1039
